"invoice_id","invoice_number","vendor_name","total_amount","balance_due","status","date","due_date","description","year","fiscal_year","created_at","updated_at"
225,"790027","Jostens",379066,379066,"planned","2025-04-24T00:00:00",,"Softball Regular Season Awards","2024-25","FY25","2025-06-10T19:12:10.213","2025-06-10T19:12:10.213"
238,"790028","Jostens",222639,222639,"planned","2025-04-24T00:00:00",,"Women's Tennis Tournament Championship","2024-25","FY25","2025-06-10T19:16:20.756","2025-06-10T19:16:20.756"
250,"790029","Jostens",4223,4223,"planned","2025-04-24T00:00:00","2025-05-24T00:00:00","Lacrosse championship nameplates","2024-25","FY25","2025-06-10T19:49:46.970542","2025-06-10T19:49:46.970542"
209,"790279","Jostens",170218,170218,"planned","2025-04-29T00:00:00","2025-05-29T00:00:00","Indoor Track & Field Of The Year Awards","2024-25","FY25","2025-06-10T18:10:46.148055","2025-06-10T18:10:46.148055"
223,"790280","Jostens",720956,720956,"planned","2025-04-29T00:00:00",,"Rowing Championship 2025 Awards","2024-25","FY25","2025-06-10T19:12:10.213","2025-06-10T19:12:10.213"
237,"790281","Jostens",86817,86817,"planned","2025-04-29T00:00:00",,"Wrestling Of The Year & Coach OTY","2024-25","FY25","2025-06-10T19:16:20.756","2025-06-10T19:16:20.756"
227,"790903","Jostens",334464,334464,"planned","2025-05-08T00:00:00",,"Swimming & Diving 24-25 Of The Year Awards","2024-25","FY25","2025-06-10T19:12:10.213","2025-06-10T19:12:10.213"
199,"790904","Jostens",21231,21231,"planned","2025-05-08T00:00:00","2025-06-08T00:00:00","Beach Volleyball Most Outstanding Pair","2024-25","FY25","2025-06-10T18:04:01.276836","2025-06-10T18:04:01.276836"
213,"790905","Jostens",256659,256659,"planned","2025-05-08T00:00:00","2025-06-08T00:00:00","Men's Basketball OTY Awards + All-Conference Teams - Invoice 790905 part A","2024-25","FY25","2025-06-10T18:10:46.562555","2025-06-12T20:59:05.363486"
251,"790906","Jostens",4284,4284,"planned","2025-05-08T00:00:00","2025-06-07T00:00:00","Rowing school nameplates","2024-25","FY25","2025-06-10T19:49:47.131268","2025-06-10T19:49:47.131268"
197,"791346","Jostens",290985,290985,"planned","2025-05-15T00:00:00","2025-06-15T00:00:00","Championship Trophy + Most Outstanding Player","2024-25","FY25","2025-06-10T18:04:00.971648","2025-06-12T21:01:37.446039"
205,"791347","Jostens",30037,30037,"planned","2025-05-15T00:00:00","2025-06-15T00:00:00","Equestrian Scholar Athlete Award","2024-25","FY25","2025-06-10T18:04:01.907686","2025-06-10T19:07:24.87071"
235,"791348","Jostens",28490,28490,"planned","2025-05-15T00:00:00",,"Women's Golf Individual Medals","2024-25","FY25","2025-06-10T19:16:20.756","2025-06-10T19:16:20.756"
224,"791349","Jostens",167582,167582,"planned","2025-05-15T00:00:00",,"Softball Tournament Championship Awards","2024-25","FY25","2025-06-10T19:12:10.213","2025-06-10T19:12:10.213"
221,"792130","Jostens",228358,228358,"planned","2025-05-29T00:00:00","2025-06-29T00:00:00","Men's Tennis OTY Awards + 1st Team All-Conference","2024-25","FY25","2025-06-10T18:10:47.282138","2025-06-10T18:10:47.282138"
239,"792131","Jostens",319896,319896,"planned","2025-05-29T00:00:00",,"Women's Tennis Of The Year All Conference","2024-25","FY25","2025-06-10T19:16:20.756","2025-06-10T19:16:20.756"
