"award_id","invoice_id","vendor_name","amount","status","description","quantity","unit_cost","sport_code","class_code","award_type","supervisor","year","fiscal_year","tax_amount","shipping_cost"
"238-1",238,"Jostens",222639,"delivered","Women's Tennis Tournament Championship",1,161700,"WTN","S-060-00-TN-W","championship","Lizzie","2024-25","FY25",16968,43971
"250-1",250,"Jostens",4223,"delivered","Nameplates",4,589,"LX-W","S-050-00-LX-W","regular_season","Lizzie","2024-25","FY25",0,1869
"209-1",209,"Jostens",170218,"delivered","Of The Year Awards",6,24089,"ITK","S-050-00-IT-M","regular_season","Lizzie","2024-25","FY25",12785,12901
"223-1",223,"Jostens",720956,"delivered","Rowing Championship 2025 Awards",1,633784,"RW","S-060-00-RW-W","championship","Lizzie","2024-25","FY25",44365,42807
"237-1",237,"Jostens",86817,"delivered","Wrestling Of The Year & Coach Oty",1,73710,"WR","S-050-00-WW-M","regular_season","Lizzie","2024-25","FY25",4457,8650
"227-1",227,"Jostens",334464,"delivered","Swimming & Diving 24-25 Of The Year Awards",1,316522,"SD","S-050-00-SD-M","regular_season","Lizzie","2024-25","FY25",0,17942
"199-1",199,"Jostens",21231,"delivered","Most Outstanding Pair",2,9450,"BVB","S-060-00-BV-W","championship","Lizzie","2024-25","FY25",0,2331
"213-1",213,"Jostens",256659,"delivered","Of The Year Awards + All-conference Teams",27,8672,"MBB","S-050-00-BB-M","regular_season","Lizzie","2024-25","FY25",204,22255
"251-1",251,"Jostens",4284,"delivered","Nameplates",2,1500,"RW-W","S-050-00-RW-W","regular_season","Lizzie","2024-25","FY25",0,1284
"197-1",197,"Jostens",281535,"delivered","Championship Trophy",1,262875,"BSB","S-060-00-HB-0","championship","Lizzie","2024-25","FY25",0,18660
"197-2",197,"Jostens",9450,"delivered","Most Outstanding Player",1,9450,"BSB","S-060-00-HB-0","championship","Lizzie","2024-25","FY25",0,0
"205-1",205,"Jostens",30037,"delivered","Scholar Athlete",1,24570,"EQ","S-050-00-EQ-W","regular_season","Lizzie","2024-25","FY25",2268,3199
"235-1",235,"Jostens",28490,"delivered","Women's Golf Individual Medals",1,18588,"WGO","S-060-00-GF-W","championship","Lizzie","2024-25","FY25",101,9801
"224-1",224,"Jostens",167582,"delivered","Softball Tournament Championship Awards",1,161700,"SB","S-060-00-SB-W","championship","Lizzie","2024-25","FY25",0,5882
"221-1",221,"Jostens",228358,"delivered","Of The Year Awards + 1st Team All-conference",29,7286,"MTN","S-050-00-TN-M","regular_season","Lizzie","2024-25","FY25",494,16558
"239-1",239,"Jostens",319896,"delivered","Women's Tennis Of The Year All Conference",1,286623,"WTN","S-050-00-TN-W","regular_season","Lizzie","2024-25","FY25",3240,30033
